tag,num_questions,description
.net-core,29103,".NET Core is an open-source successor  of the .NET Framework. It can be used in a wide variety of applications and verticals, ranging from servers and data centers to apps and devices. .NET Core is supported by Microsoft on Windows, Linux and macOS."
abap,2591,"ABAP is the programming language of SAP softwares R/3, S/4HANA, CRM and many others."
abc,196,Abstract Base Classes are non-instantiable classes used to define the expected behaviour of subclasses.
acc,42,The aCC command invokes the HP aC++ compiling system
accent,991,"A Diacritic is ""a mark near or through an orthographic or phonetic character or combination of characters indicating a phonetic value different from that given the unmarked or otherwise marked element"" -- Merriam-Webster"
actionscript,9140,"ActionScript is a scripting language used to create Rich Internet Applications (RIA), mobiles applications, web applications, etc. It is the main language for Flash and Flex."
ada,1918,"Ada is a structured, statically typed, imperative, wide-spectrum, and object-oriented high-level computer programming language, extended from Pascal and other languages."
actor,1890,Programming model distinguished by ubiquitous asynchronous communication.
agda,682,"Agda is a dependently typed, total functional programming language and a proof assistant."
aimms,7,"AIMMS (an acronym for ""Advanced Interactive Multidimensional Modeling System"") is a software system designed for modeling and solving large-scale optimization and scheduling-type problems."
alice,21,"Alice is an innovative 3D programming environment that makes it easy to create an animation for telling a story, playing an interactive game, or a video to share on the web."
amos,12,AMOS is structural equation modelling software owned by and linked to IBM SPSS. It includes both a graphical and a programming environment for specifying models. see also the spss tag.
ampl,370,"AMPL is an algebraic modeling language for mathematical optimization. It supports a wide range of problems such as linear, quadratic and nonlinear problems in continuous and discrete variables and is connected to most solvers."
angelscript,25,"AngelScript is a free, open source, flexible, and cross-platform scripting library meant to be embedded in applications. The purpose is to provide an easy to use library that is powerful, but that isn't weighed down by a large amount of rarely used features."
apex,1822,"Apex is a strongly typed, OOP language that allows to execute flow and transaction control statements on the Force.com platform server in conjunction with calls to the Force.com​ API.  Not to be confused with Oracle Application Express (APEX) - use tag [oracle-apex] for Oracle APEX questions"
apl,239,APL (named after the book A Programming Language) is an interactive array-oriented language. It is based on a mathematical notation developed by Kenneth E. Iverson. Do not use for Alexa Presentation Language use [alexa-presentation-language] instead.
app-inventor,640,"App Inventor is a graphical programming environment for making Android apps, originally developed by Google and now run by MIT as an open source project. The programming is done in a graphical way with blocks like jigsaw pieces similar to scratch or snap."
